character,category,base_species,species_id_PROVISIONAL,keep(Y/n)
Aaron,elite4,SPECIES_SCYTHER,123,Y
Aaron,elite4,SPECIES_YANMA,193,Y
Aaron,elite4,SPECIES_HERACROSS,214,Y
Aaron,elite4,SPECIES_WURMPLE,290,Y
Aaron,elite4,SPECIES_TRAPINCH,332,Y
Aaron,elite4,SPECIES_COMBEE,468,Y
Aaron,elite4,SPECIES_STUNKY,487,Y
Aaron,elite4,SPECIES_SKORUPI,504,Y
Acerola,elite4,SPECIES_GASTLY,92,Y
Acerola,elite4,SPECIES_SABLEYE,322,Y
Acerola,elite4,SPECIES_SNORUNT,346,Y
Acerola,elite4,SPECIES_SHUPPET,377,Y
Acerola,elite4,SPECIES_DRIFLOON,478,Y
Acerola,elite4,SPECIES_FRILLISH,645,Y
Acerola,elite4,SPECIES_SANDYGAST,986,Y
Acerola,elite4,SPECIES_MIMIKYU,995,Y
Acerola,elite4,SPECIES_DHELMISE,998,Y
Acerola,elite4,SPECIES_TAPU_BULU,1004,Y
Adaman,rival,SPECIES_EEVEE,133,Y
Agatha,elite4,SPECIES_BULBASAUR,1,Y
Agatha,elite4,SPECIES_EKANS,23,Y
Agatha,elite4,SPECIES_ZUBAT,41,Y
Agatha,elite4,SPECIES_ABRA,63,Y
Agatha,elite4,SPECIES_GRIMER,88,Y
Agatha,elite4,SPECIES_GASTLY,92,Y
Agatha,elite4,SPECIES_CUBONE,104,Y
Agatha,elite4,SPECIES_KOFFING,109,Y
Agatha,elite4,SPECIES_MAGIKARP,129,Y
Agatha,elite4,SPECIES_MISDREAVUS,200,Y
Agatha,elite4,SPECIES_SMOOCHUM,238,Y
Akari,protagonist,SPECIES_PICHU,172,Y
Akari,protagonist,SPECIES_CLEFFA,173,Y
Akari,protagonist,SPECIES_TURTWIG,440,Y
Akari,protagonist,SPECIES_CHIMCHAR,443,Y
Akari,protagonist,SPECIES_PIPLUP,446,Y
Akari,protagonist,SPECIES_STARLY,449,Y
Akari,protagonist,SPECIES_MIME_JR,492,Y
Alain,anime,SPECIES_CHARMANDER,4,Y
Alain,anime,SPECIES_SNEASEL,215,Y
Alain,anime,SPECIES_LARVITAR,246,Y
Alain,anime,SPECIES_BELDUM,398,Y
Alain,anime,SPECIES_PIDOVE,572,Y
Alain,anime,SPECIES_PAWNIARD,677,Y
Alain,anime,SPECIES_CHESPIN,758,Y
Alain,anime,SPECIES_INKAY,794,Y
Alder,champion,SPECIES_TIMBURR,585,Y
Alder,champion,SPECIES_SANDILE,604,Y
Alder,champion,SPECIES_SOLOSIS,630,Y
Alder,champion,SPECIES_VANILLITE,635,Y
Alder,champion,SPECIES_KARRABLAST,641,Y
Alder,champion,SPECIES_LITWICK,660,Y
Alder,champion,SPECIES_SHELMET,669,Y
Alder,champion,SPECIES_DRUDDIGON,674,Y
Alder,champion,SPECIES_BOUFFALANT,679,Y
Alder,champion,SPECIES_RUFFLET,680,Y
Alder,champion,SPECIES_LARVESTA,689,Y
Allister,gymleader,SPECIES_GASTLY,92,Y
Allister,gymleader,SPECIES_DUSKULL,361,Y
Allister,gymleader,SPECIES_YAMASK,615,Y
Allister,gymleader,SPECIES_LITWICK,660,Y
Allister,gymleader,SPECIES_PUMPKABOO,818,Y
Allister,gymleader,SPECIES_MIMIKYU,995,Y
Allister,gymleader,SPECIES_SINISTEA,1146,Y
Allister,gymleader,SPECIES_DREEPY,1177,Y
Allister,gymleader,SPECIES_CORSOLA_G,1225,Y
Allister,gymleader,SPECIES_YAMASK_G,1232,Y
Anabel,frontier,SPECIES_ABRA,63,Y
Anabel,frontier,SPECIES_EEVEE,133,Y
Anabel,frontier,SPECIES_MISDREAVUS,200,Y
Anabel,frontier,SPECIES_SNEASEL,215,Y
Anabel,frontier,SPECIES_RAIKOU,243,Y
Anabel,frontier,SPECIES_ENTEI,244,Y
Anabel,frontier,SPECIES_BAGON,395,Y
Anabel,frontier,SPECIES_BELDUM,398,Y
Anabel,frontier,SPECIES_LATIOS,408,Y
Anabel,frontier,SPECIES_MUNCHLAX,499,Y
Anabel,frontier,SPECIES_RIOLU,500,Y
Archer,villain,SPECIES_RATTATA,19,Y
Archer,villain,SPECIES_ZUBAT,41,Y
